Web;Dispositivo;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;DESKTOP;281.88990825688074;166.77592748897044;96;867;64;89.8348623853211
0xrpc.io;MOBILE;310.4569536423841;235.39260070781998;94;2369;64;84.76821192052981
3gppnetwork.org;DESKTOP;303.7875;299.8076891520355;102;2030;64;77.6
3gppnetwork.org;MOBILE;293.5603448275862;159.4851111378823;104;1201;64;72.27586206896552
a2z.com;DESKTOP;266.30864197530866;177.71948697141434;97;1273;64;77.4320987654321
a2z.com;MOBILE;293.90677966101697;163.11246119281748;94;1065;64;71.59322033898304
aaplimg.com;DESKTOP;248.50617283950618;129.4851461999397;106;784;64;78.22222222222223
aaplimg.com;MOBILE;301.56302521008405;160.5728958836623;106;995;64;72.0672268907563
adnxs.com;DESKTOP;243.82142857142858;136.94512599018458;125;672;64;64.0
adnxs.com;MOBILE;301.5934065934066;130.85963455567176;106;529;64;64.0
adsrvr.org;DESKTOP;426.72115384615387;289.4723843404463;130;1656;64;64.0
adsrvr.org;MOBILE;408.0705128205128;252.09478791248048;112;1642;64;64.0
adtrafficquality.google;DESKTOP;288.8675496688742;288.1006693384956;98;3417;128;100.02649006622516
adtrafficquality.google;MOBILE;296.7631578947368;191.460335346878;94;1373;64;93.6421052631579
akadns.net;DESKTOP;252.1875;127.40547190820298;92;574;64;76.8
akadns.net;MOBILE;300.42241379310343;158.87025884484257;101;852;64;71.72413793103448
akamai.net;DESKTOP;295.34939759036143;343.7162199361468;82;3127;64;78.65060240963855
akamai.net;MOBILE;302.7190082644628;192.23359154686844;101;1556;64;71.40495867768595
akamaiedge.net;DESKTOP;270.6296296296296;172.7248132467107;96;1125;64;78.22222222222223
akamaiedge.net;MOBILE;284.99152542372883;136.11919712150677;102;686;64;71.05084745762711
amazon-adsystem.com;DESKTOP;233.46511627906978;116.33740966025032;93;684;64;86.32558139534883
amazon-adsystem.com;MOBILE;288.4296875;209.69917274209854;97;2181;64;79.0
amazon.com;DESKTOP;355.15432098765433;345.7745628308686;98;4607;64;95.07818930041152
amazon.com;MOBILE;381.7596685082873;302.58880292347527;95;3414;64;86.27624309392266
amazon.dev;DESKTOP;291.69620253164555;239.3977676154072;102;1687;64;76.9620253164557
amazon.dev;MOBILE;1229.9745762711864;10270.861031709146;103;111846;64;71.59322033898304
amazonaws.com;DESKTOP;274.51724137931035;209.78060865829738;107;1702;128;97.10344827586206
amazonaws.com;MOBILE;247.77894736842106;120.96554625949862;95;781;64;89.6
android.com;DESKTOP;1451.047619047619;8075.776214555765;105;66533;128;128.0
android.com;MOBILE;277.4878048780488;154.92214244520795;103;961;128;128.0
app-analytics-services.com;DESKTOP;283.1777777777778;150.12809787359686;98;1109;64;83.91111111111111
app-analytics-services.com;MOBILE;282.25;144.6325703967831;97;1016;64;82.22222222222223
app-measurement.com;DESKTOP;285.2450331125828;129.57442993057018;100;624;64;83.0728476821192
app-measurement.com;MOBILE;319.6458333333333;369.2059987229446;102;4085;64;83.11111111111111
apple-dns.net;DESKTOP;289.72727272727275;151.1041031871736;95;854;64;72.99173553719008
apple-dns.net;MOBILE;302.77966101694915;165.07968216328732;104;839;64;72.67796610169492
apple.com;DESKTOP;335.4508670520231;457.87228360665625;103;5919;64;88.78612716763006
