Web;Dispositivo;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;DESKTOP;8936.522935779816;8295.25419162281;738;24267;54;59.56880733944954
0xrpc.io;MOBILE;9506.403973509934;10738.66447697528;671;69269;54;68.34437086092716
3gppnetwork.org;DESKTOP;9225.5875;13871.164039655492;724;71996;54;66.025
3gppnetwork.org;MOBILE;7165.724137931034;11066.02775091893;674;69346;54;76.89655172413794
a2z.com;DESKTOP;7512.061728395061;9199.872314801003;731;58010;54;65.11111111111111
a2z.com;MOBILE;6936.050847457627;10134.286440372209;715;68810;117;78.17796610169492
aaplimg.com;DESKTOP;8805.765432098766;15998.47377116924;703;119566;54;65.8641975308642
aaplimg.com;MOBILE;6655.470588235294;9303.11934001903;669;68788;54;79.22689075630252
adnxs.com;DESKTOP;9610.625;17385.74772472347;741;78437;54;62.392857142857146
adnxs.com;MOBILE;7493.923076923077;16511.335930357913;717;127881;117;82.10989010989012
adsrvr.org;DESKTOP;7641.028846153846;10643.159799313498;748;75736;54;86.51923076923077
adsrvr.org;MOBILE;6022.615384615385;7205.629411707109;700;50218;54;92.63461538461539
adtrafficquality.google;DESKTOP;7612.6556291390725;14287.589701577313;730;119573;117;84.0728476821192
adtrafficquality.google;MOBILE;6047.184210526316;12214.559571541397;711;125397;117;88.87368421052632
akadns.net;DESKTOP;7672.875;9082.917954405164;742;54582;54;66.225
akadns.net;MOBILE;7173.189655172414;10635.543329399972;706;70964;54;77.5
akamai.net;DESKTOP;9363.409638554216;13450.336440652154;698;76023;54;65.3855421686747
akamai.net;MOBILE;7466.677685950413;13508.108299101244;698;115669;54;79.79338842975207
akamaiedge.net;DESKTOP;8079.716049382716;11490.10293169144;719;72959;54;65.88888888888889
akamaiedge.net;MOBILE;6810.576271186441;10048.742959533922;701;75921;54;79.46610169491525
amazon-adsystem.com;DESKTOP;10748.523255813954;16787.339702166137;767;75831;54;81.19767441860465
amazon-adsystem.com;MOBILE;9507.1015625;18753.55367975693;723;122210;54;88.9609375
amazon.com;DESKTOP;17115.48353909465;17512.463983987243;730;88678;240;148.12962962962962
