Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;CHROME;278.16129032258067;120.48483933584002;138;565;64;94.96774193548387
0xrpc.io;EDGE;346.8738738738739;249.29891211946264;143;2369;64;82.45045045045045
0xrpc.io;FIREFOX;251.2183908045977;191.84407581493718;94;867;64;86.80459770114942
3gppnetwork.org;CHROME;361.1914893617021;283.53326913891976;111;2030;64;77.61702127659575
3gppnetwork.org;EDGE;373.62025316455697;238.03615884542376;130;1748;64;70.48101265822785
3gppnetwork.org;FIREFOX;169.4857142857143;41.32260596786164;102;304;64;76.8
a2z.com;CHROME;319.18367346938777;130.89351165950825;105;575;64;75.75510204081633
a2z.com;EDGE;368.6625;195.9979942903059;121;1273;64;70.4
a2z.com;FIREFOX;158.84285714285716;35.867160594473205;94;271;64;76.8
aaplimg.com;CHROME;344.3529411764706;164.33268981300242;123;995;64;76.54901960784314
aaplimg.com;EDGE;339.0632911392405;146.31870218650232;130;985;64;71.29113924050633
aaplimg.com;FIREFOX;166.67142857142858;40.548314866456735;106;283;64;76.8
adnxs.com;CHROME;350.7142857142857;119.61937311776514;132;515;64;64.0
adnxs.com;EDGE;325.98214285714283;141.07773370752716;125;672;64;64.0
adnxs.com;FIREFOX;165.59183673469389;27.861202390411222;106;221;64;64.0
adsrvr.org;CHROME;393.1730769230769;167.88146158313037;127;1010;64;64.0
adsrvr.org;EDGE;398.92561983471074;178.11953688881965;126;1656;64;64.0
adsrvr.org;FIREFOX;451.98850574712645;390.04270768703554;112;1642;64;64.0
adtrafficquality.google;CHROME;329.0860215053763;350.0854136745706;114;3417;128;101.16129032258064
adtrafficquality.google;EDGE;336.26666666666665;204.704380954804;98;1373;64;93.39259259259259
adtrafficquality.google;FIREFOX;212.41592920353983;111.22320910671003;94;1078;128;96.28318584070796
akadns.net;CHROME;350.5416666666667;164.52005741179443;101;852;64;77.33333333333333
akadns.net;EDGE;339.4177215189873;138.40664794272695;107;821;64;69.67088607594937
akadns.net;FIREFOX;164.9855072463768;38.02456356002123;92;277;64;76.05797101449275
akamai.net;CHROME;349.4074074074074;208.2974577077005;118;1556;64;75.85185185185185
akamai.net;EDGE;388.08641975308643;346.1352047080326;82;3127;64;71.90123456790124
akamai.net;FIREFOX;157.1014492753623;32.32925506662396;95;278;64;76.05797101449275
akamaiedge.net;CHROME;334.5769230769231;131.95384608350474;134;686;64;76.3076923076923
akamaiedge.net;EDGE;344.87012987012986;168.96350825652067;102;1125;64;69.81818181818181
akamaiedge.net;FIREFOX;165.67142857142858;40.468173728080785;96;310;64;76.8
amazon-adsystem.com;CHROME;337.2258064516129;268.26317023295866;125;2181;64;84.64516129032258
amazon-adsystem.com;EDGE;303.027397260274;132.772986355025;111;684;64;78.9041095890411
amazon-adsystem.com;FIREFOX;176.81012658227849;49.137451367636565;93;324;64;82.63291139240506
amazon.com;CHROME;337.16856492027335;266.7989406226012;128;2578;64;95.92710706150342
amazon.com;EDGE;396.1221020092736;309.3532035920503;120;3414;64;86.35548686244204
amazon.com;FIREFOX;360.41129032258067;497.6877104241822;95;4607;64;86.19354838709677
amazon.dev;CHROME;330.9795918367347;121.6310147186835;128;605;64;74.44897959183673
amazon.dev;EDGE;1758.825;12465.94707799074;135;111846;64;72.0
amazon.dev;FIREFOX;165.5441176470588;38.58637677139641;102;263;64;75.29411764705883
amazonaws.com;CHROME;312.9019607843137;262.2418162614011;128;1702;128;105.41176470588235
amazonaws.com;EDGE;284.69565217391306;126.48265451271617;137;606;64;89.97101449275362
amazonaws.com;FIREFOX;190.6451612903226;54.80878736958497;95;342;64;86.70967741935483
android.com;CHROME;293.77966101694915;203.78369768276954;158;1245;128;128.0
