Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;CHROME;7322.451612903225;8042.3783605561375;758;25328;117;92.70967741935483
0xrpc.io;EDGE;12363.738738738739;9569.57422222945;671;69269;42;54.18018018018018
0xrpc.io;FIREFOX;6703.229885057472;10150.236347003292;892;40454;54;58.05747126436781
3gppnetwork.org;CHROME;4671.787234042553;4856.9112072886055;718;13806;117;106.27659574468085
3gppnetwork.org;EDGE;14515.278481012658;16341.383874907751;674;71996;42;59.79746835443038
3gppnetwork.org;FIREFOX;2899.8571428571427;5212.297124361714;886;18285;54;64.04285714285714
a2z.com;CHROME;4287.551020408163;4597.867336517843;715;12886;117;105.3061224489796
a2z.com;EDGE;12536.3;12323.16369189403;731;68810;42;59.8875
a2z.com;FIREFOX;3056.2428571428572;5242.081576912572;786;18295;54;64.97142857142858
aaplimg.com;CHROME;4637.745098039216;4592.145123330217;703;12518;117;107.11764705882354
aaplimg.com;EDGE;13517.506329113925;17262.400064044203;669;119566;42;60.177215189873415
aaplimg.com;FIREFOX;2869.4285714285716;5156.54230451979;889;17200;54;64.94285714285714
adnxs.com;CHROME;3855.309523809524;4061.751253255388;728;10356;117;104.95238095238095
adnxs.com;EDGE;15985.660714285714;24752.61252714864;717;127881;43;62.82142857142857
adnxs.com;FIREFOX;3326.9795918367345;5759.3210301858935;885;18273;54;62.04081632653061
adsrvr.org;CHROME;4440.076923076923;4927.50306988953;714;13224;54;107.07692307692308
adsrvr.org;EDGE;9301.743801652892;10895.083956789047;700;75736;54;80.42148760330579
adsrvr.org;FIREFOX;4342.528735632184;5734.607741576233;884;18227;54;93.67816091954023
adtrafficquality.google;CHROME;4483.182795698925;8160.242524830289;711;71042;117;110.73118279569893
adtrafficquality.google;EDGE;10837.348148148149;15462.3776155914;712;119573;117;74.17777777777778
adtrafficquality.google;FIREFOX;3703.522123893805;12348.656035242793;725;125397;54;82.02654867256638
akadns.net;CHROME;4611.104166666667;4779.605219340633;757;14316;117;106.29166666666667
akadns.net;EDGE;12953.075949367088;12610.04752504531;706;70964;42;60.151898734177216
akadns.net;FIREFOX;2917.304347826087;5236.861159422604;785;18242;54;64.26086956521739
akamai.net;CHROME;4405.444444444444;4556.821652459863;721;12532;118;107.81481481481481
akamai.net;EDGE;15286.185185185184;18450.51799077136;698;115669;43;59.641975308641975
akamai.net;FIREFOX;2964.5797101449275;5199.061259739439;887;17223;54;64.18840579710145
akamaiedge.net;CHROME;4646.423076923077;4713.065882583719;710;13123;117;107.23076923076923
akamaiedge.net;EDGE;13126.155844155845;14132.182481340928;701;75921;42;60.45454545454545
akamaiedge.net;FIREFOX;2939.6714285714284;5151.958470221007;782;17135;54;64.04285714285714
amazon-adsystem.com;CHROME;7295.274193548387;11527.91383337917;723;48446;117;116.6774193548387
amazon-adsystem.com;EDGE;17107.58904109589;24480.856598595346;767;122210;43;73.65753424657534
amazon-adsystem.com;FIREFOX;5571.151898734177;12274.126853993037;803;56286;54;72.89873417721519
