Web;SO;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;LINUX;343.0;246.13026720363945;137;2369;64;64.0
0xrpc.io;WINDOWS;218.53763440860214;64.72408985367527;94;382;128;128.0
3gppnetwork.org;LINUX;301.5975609756098;198.4003426028668;111;1748;64;64.0
3gppnetwork.org;WINDOWS;277.9375;340.7682911096724;102;2030;128;128.0
a2z.com;LINUX;291.01190476190476;159.87899571426402;101;1065;64;64.0
a2z.com;WINDOWS;237.48387096774192;210.74959406330882;94;1273;128;128.0
aaplimg.com;LINUX;290.9341317365269;151.6806306273965;112;995;64;64.0
aaplimg.com;WINDOWS;225.12121212121212;134.7381157968481;106;830;128;128.0
adnxs.com;LINUX;279.5850340136054;135.695915260264;106;672;64;64.0
adsrvr.org;LINUX;415.53076923076924;267.2832052166986;112;1656;64;64.0
adtrafficquality.google;LINUX;294.73214285714283;161.18726689336953;98;1268;64;64.0
adtrafficquality.google;WINDOWS;291.84393063583815;295.74634388161746;94;3417;128;128.0
akadns.net;LINUX;289.3734939759036;142.86095896431257;101;821;64;64.0
akadns.net;WINDOWS;232.93333333333334;170.86048620768477;92;852;128;128.0
akamai.net;LINUX;293.27485380116957;154.08095812937677;82;822;64;64.0
akamai.net;WINDOWS;333.1212121212121;560.2676122608596;95;3127;128;128.0
akamaiedge.net;LINUX;293.7202380952381;157.95231318553567;102;1125;64;64.0
akamaiedge.net;WINDOWS;200.16129032258064;75.03114765402147;96;320;128;128.0
amazon-adsystem.com;LINUX;285.0779220779221;204.4012628175414;111;2181;64;64.0
amazon-adsystem.com;WINDOWS;218.25;71.9393871514681;93;400;128;128.0
amazon.com;LINUX;478.2617728531856;365.1872613033097;95;4607;64;64.0
amazon.com;WINDOWS;212.4877049180328;125.48298416374887;98;2030;128;128.0
amazon.dev;LINUX;969.934131736527;8633.603065535593;102;111846;64;64.0
amazon.dev;WINDOWS;206.73333333333332;87.79165514240904;103;423;128;128.0
amazonaws.com;LINUX;249.16161616161617;120.27763012117197;127;606;64;64.0
amazonaws.com;WINDOWS;274.1566265060241;213.7548448703653;95;1702;128;128.0
android.com;WINDOWS;871.3373493975904;5758.892330947425;103;66533;128;128.0
app-analytics-services.com;LINUX;303.0561224489796;157.58296768976376;109;1109;64;64.0
app-analytics-services.com;WINDOWS;234.6265060240964;104.54415694947949;97;712;128;128.0
app-measurement.com;LINUX;306.42512077294685;155.1412539793067;102;1342;64;64.0
app-measurement.com;WINDOWS;291.71590909090907;443.69001161921403;100;4085;128;128.0
apple-dns.net;LINUX;308.5728155339806;160.94438378531297;97;854;64;64.0
apple-dns.net;WINDOWS;218.75757575757575;111.6484522684457;95;702;128;128.0
apple.com;LINUX;348.40845070422534;221.19204778590125;108;1501;64;64.0
apple.com;WINDOWS;299.28333333333336;528.5282273586207;96;5919;128;128.0
applovin.com;LINUX;489.636;626.6599863225924;104;5923;64;64.0
applovin.com;WINDOWS;231.8780487804878;80.74688090873482;106;601;128;128.0
appsflyersdk.com;LINUX;325.2628865979381;190.42090810202956;96;1012;64;64.0
appsflyersdk.com;WINDOWS;236.2258064516129;111.67171139723861;95;635;128;128.0
avast.com;LINUX;671.362676056338;950.358203413293;112;9265;64;64.0
avast.com;WINDOWS;229.47278911564626;91.72598461519902;99;919;128;128.0
avsxappcaptiveportal.com;WINDOWS;284.921568627451;231.10833627228754;93;1385;128;128.0
aws.dev;LINUX;301.0966183574879;146.55841586327838;104;995;64;64.0
aws.dev;WINDOWS;268.8235294117647;244.54825025404963;96;1306;128;128.0
azure.com;LINUX;672.4631578947368;1059.0542052757874;95;13016;64;64.0
azure.com;WINDOWS;271.77647058823527;202.77280893308236;89;2338;128;128.0
baidu.com;LINUX;504.0258620689655;465.5286172709206;119;7055;64;64.0
baidu.com;WINDOWS;2124.596;24085.957170852238;84;372910;128;128.0
bing.com;LINUX;455.24354243542433;537.0251870988136;107;5486;64;64.0
bing.com;WINDOWS;362.94871794871796;1246.8409412740084;100;15753;128;128.0
cdn-apple.com;LINUX;309.19711538461536;153.13457373434068;106;1219;64;64.0
cdn-apple.com;WINDOWS;221.41935483870967;129.9250486995094;94;765;128;128.0
cdninstagram.com;LINUX;306.7368421052632;159.42469476086552;108;1376;64;64.0
cdninstagram.com;WINDOWS;317.05405405405406;413.3663928946991;98;2607;128;128.0
chatgpt.com;LINUX;397.2988505747126;337.3483972306054;106;3992;64;64.0
chatgpt.com;WINDOWS;268.0081300813008;216.8769574838653;86;2052;128;128.0
cloud.microsoft;LINUX;877.5846153846154;1914.8929660868675;83;14126;64;64.0
cloudflare-dns.com;LINUX;310.1062801932367;162.2099152667714;111;1273;64;64.0
cloudflare-dns.com;WINDOWS;231.49333333333334;102.8000385599535;100;743;128;128.0
cloudflare.com;LINUX;706.3102310231023;1615.8123649738122;113;14297;64;64.0
cloudflare.com;WINDOWS;312.9117647058824;496.0500885931954;105;6311;128;128.0
cloudfront.net;LINUX;301.0048309178744;144.73163976603206;108;1095;64;64.0
cloudfront.net;WINDOWS;391.0;767.6885157033789;100;4618;128;128.0
criteo.com;LINUX;516.6042884990253;603.0441310268659;103;9694;64;64.0
criteo.com;WINDOWS;318.25671641791047;297.4283988832266;102;2307;128;128.0
digicert.com;LINUX;675.4985294117647;648.4598497426962;89;7637;64;64.0
digicert.com;WINDOWS;268.74294670846393;147.49875728748523;100;1498;128;128.0
discord.com;WINDOWS;361.675;689.5214926447875;100;7748;128;128.0
dns.google;LINUX;313.8133971291866;180.6872526804049;106;1620;64;64.0
dns.google;WINDOWS;231.13888888888889;96.73112227018485;100;583;128;128.0
doubleclick.net;LINUX;522.4130982367758;702.7435884738716;113;8371;64;64.0
doubleclick.net;WINDOWS;245.96373056994818;167.23347492655398;102;2122;128;128.0
doubleverify.com;LINUX;661.2146596858639;732.0772388292162;108;10223;64;64.0
facebook.com;LINUX;458.22846441947564;537.7327964609732;104;5198;64;64.0
facebook.com;WINDOWS;270.7730496453901;197.51507605367843;102;1998;128;128.0
fastly-edge.com;LINUX;303.79904306220095;154.41564101925542;111;1389;64;64.0
fastly.net;LINUX;496.672268907563;350.58263238029485;100;3733;64;64.0
fastly.net;WINDOWS;262.5731922398589;230.48755633735195;104;4797;128;128.0
fbcdn.net;LINUX;487.5681818181818;721.8086890649854;98;9834;64;64.0
fbcdn.net;WINDOWS;244.0066225165563;99.4027160385967;96;873;128;128.0
ggpht.com;LINUX;304.00485436893206;156.54798991699593;104;862;64;64.0
ggpht.com;WINDOWS;210.4848484848485;88.33498783470556;93;465;128;128.0
gmail.com;WINDOWS;276.51612903225805;268.8387088228585;97;2962;128;128.0
google-analytics.com;LINUX;537.280487804878;838.0870708041919;87;10050;64;64.0
google-analytics.com;WINDOWS;256.5786802030457;108.786817142352;96;928;128;128.0
google.com;LINUX;441.3667953667954;477.614672924109;66;4318;64;64.0
google.com;WINDOWS;245.20805369127515;169.34716761122115;90;1877;128;128.0
googleadservices.com;LINUX;334.59313725490193;205.09931789008016;118;1255;64;64.0
googleadservices.com;WINDOWS;248.27710843373495;182.1435585822356;92;1680;128;128.0
googleapis.com;LINUX;356.15668202764977;234.03025557024333;105;1213;64;64.0
googleapis.com;WINDOWS;229.63095238095238;76.53769521904542;92;480;128;128.0
googlesyndication.com;LINUX;309.7864077669903;161.71734754588584;110;1164;64;64.0
googlesyndication.com;WINDOWS;246.4344827586207;151.7082733128648;108;1681;128;128.0
googletagmanager.com;LINUX;346.94520547945206;249.54629787266535;95;1758;64;64.0
googletagmanager.com;WINDOWS;246.8815789473684;109.25626964225143;94;648;128;128.0
googleusercontent.com;LINUX;342.1106194690266;209.67602771379663;92;1041;64;64.0
googleusercontent.com;WINDOWS;230.75;84.36051328987779;99;521;128;128.0
googlevideo.com;LINUX;360.3407079646018;253.21057346263083;100;1776;64;64.0
googlevideo.com;WINDOWS;267.6923076923077;187.65291200675622;101;1708;128;128.0
gstatic.com;LINUX;352.6421568627451;256.8474933969388;112;1673;64;64.0
gstatic.com;WINDOWS;231.42222222222222;83.08598196748129;100;647;128;128.0
gvt1.com;LINUX;859.2019704433498;7783.500034415024;102;111178;64;64.0
gvt1.com;WINDOWS;388.0857142857143;1110.795564698843;96;6758;128;128.0
gvt2.com;LINUX;308.3719806763285;140.92321047273006;103;748;64;64.0
gvt2.com;WINDOWS;236.11764705882354;166.28612885277397;100;945;128;128.0
icloud.com;LINUX;551.2698863636364;856.0543911960423;109;11202;64;64.0
icloud.com;WINDOWS;262.1868131868132;167.89735828496495;107;1296;128;128.0
