Web;SO_Origen;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
0xrpc.io;LINUX;9280.221556886228;10052.517705015642;671;69269;54;60.958083832335326
0xrpc.io;WINDOWS;9244.63440860215;9310.53512540562;837;40454;54;71.3225806451613
3gppnetwork.org;LINUX;8458.713414634147;13167.70634506092;674;71996;54;69.6829268292683
3gppnetwork.org;WINDOWS;5688.8125;5724.92426453638;917;16805;54;86.6875
a2z.com;LINUX;7419.773809523809;10315.0376894783;715;68810;54;70.47619047619048
a2z.com;WINDOWS;5819.645161290323;5678.847979114467;717;17106;54;85.7741935483871
aaplimg.com;LINUX;7848.035928143712;13375.786077966437;669;119566;54;71.16766467065868
aaplimg.com;WINDOWS;5898.363636363636;5883.042117062937;703;18383;54;87.21212121212122
adnxs.com;LINUX;8300.285714285714;16822.20341837879;717;127881;54;74.59863945578232
adsrvr.org;LINUX;6669.9807692307695;8760.812914914384;700;75736;54;90.18846153846154
adtrafficquality.google;LINUX;8430.869047619048;14538.63223704576;711;119573;54;69.92857142857143
adtrafficquality.google;WINDOWS;5098.78612716763;11508.089165403444;719;125397;117;103.08092485549133
akadns.net;LINUX;7681.108433734939;10537.244444594637;706;70964;54;69.92771084337349
akadns.net;WINDOWS;5695.2;6205.497653777211;792;21208;54;89.33333333333333
akamai.net;LINUX;8565.95321637427;14475.745363645097;698;115669;54;71.81286549707602
akamai.net;WINDOWS;6541.0;6051.050642243874;899;17487;54;84.9090909090909
akamaiedge.net;LINUX;7671.125;11322.866533752293;701;75921;54;71.3452380952381
akamaiedge.net;WINDOWS;5463.096774193548;5523.535633117847;893;16989;54;88.0
amazon-adsystem.com;LINUX;7753.123376623376;15590.4649749456;723;122210;54;74.01948051948052
amazon-adsystem.com;WINDOWS;15788.35;22064.067805589726;801;116119;54;116.18333333333334
amazon.com;LINUX;15690.831024930749;17658.180539743666;680;117304;243;141.48337950138503
amazon.com;WINDOWS;18243.252049180326;17504.965737241768;741;79916;117;154.5737704918033
amazon.dev;LINUX;8002.832335329342;13489.03897532153;715;111541;54;71.08982035928143
amazon.dev;WINDOWS;6440.366666666667;5760.639856003386;764;14840;54;83.63333333333334
amazonaws.com;LINUX;6357.585858585859;6429.68156765408;705;21373;54;60.303030303030305
amazonaws.com;WINDOWS;6894.44578313253;6013.29095452166;756;22920;117;84.19277108433735
android.com;WINDOWS;4219.578313253012;6282.208396918614;711;52089;117;104.72289156626506
app-analytics-services.com;LINUX;7519.234693877551;11881.687195482926;696;70892;54;75.11734693877551
app-analytics-services.com;WINDOWS;5752.168674698795;5836.164986674869;735;17884;117;89.21686746987952
app-measurement.com;LINUX;7046.729468599034;10608.423917978807;683;71594;54;77.18357487922705
app-measurement.com;WINDOWS;6126.238636363636;5442.396296498928;749;16623;117;90.1590909090909
apple-dns.net;LINUX;7569.839805825242;13523.699246357111;707;123318;54;77.3252427184466
apple-dns.net;WINDOWS;5359.818181818182;5635.275378445058;794;16551;54;87.39393939393939
apple.com;LINUX;6143.460093896713;7584.487892349877;682;26585;51;89.70422535211267
apple.com;WINDOWS;7327.941666666667;7664.426657497952;753;37403;54;98.95
applovin.com;LINUX;5679.072;5931.369401980202;675;21604;117;76.16
applovin.com;WINDOWS;6676.804878048781;5812.692165212003;725;22629;53;84.6910569105691
appsflyersdk.com;LINUX;6104.118556701031;9252.687181803838;697;70404;54;90.66494845360825
appsflyersdk.com;WINDOWS;7710.967741935484;5846.832290651747;817;21369;54;111.88709677419355
avast.com;LINUX;7023.091549295775;7517.056957363429;673;26245;51;105.54929577464789
avast.com;WINDOWS;10481.115646258504;6540.371964995968;711;25917;54;107.55102040816327
avsxappcaptiveportal.com;WINDOWS;11569.79411764706;14667.47685033839;737;70305;117;86.33333333333333
aws.dev;LINUX;6951.603864734299;10688.733778786493;693;72068;54;77.9951690821256
aws.dev;WINDOWS;5813.794117647059;5862.476758521673;815;18514;54;85.8529411764706
